1,10,2,4,2,0,5
2,13,8,1,1,0,1
3,13,8,1,1,0,1
4,13,8,1,1,0,1
5,14,1,4,1,0,1
6,14,1,4,1,0,1
7,8,1,2,2,1,1
8,8,1,2,2,1,1
9,8,1,2,2,1,1
10,8,1,2,2,1,1
11,28,6,3,1,1,5
12,28,6,3,1,1,5
13,28,6,3,1,1,5
14,27,7,4,1,0,1
15,27,7,4,1,0,1
16,27,7,4,1,0,1
17,27,7,4,1,0,1
18,27,7,4,1,0,1
19,27,7,4,1,0,1
20,27,7,4,1,0,1
21,27,7,4,1,0,1
22,27,7,4,1,0,1
23,27,7,4,1,0,1
24,27,7,4,1,0,1
25,27,7,4,1,0,1
26,30,6,2,1,1,1
27,30,6,2,1,1,1
28,30,6,2,1,1,1
29,30,6,2,1,1,1
30,30,6,2,1,1,1
31,30,6,2,1,1,1
32,30,6,2,1,1,1
33,19,3,3,3,1,5
34,19,3,3,3,1,5
35,19,3,3,3,1,5
36,19,3,3,3,1,5
37,19,3,3,3,1,5
38,19,3,3,3,1,5
39,19,3,3,3,1,5
40,19,3,3,3,1,5
41,19,3,3,3,1,5
42,19,3,3,3,1,5
43,14,2,6,1,1,1
44,14,2,6,1,1,1
45,14,2,6,1,1,1
46,14,2,6,1,1,1
47,18,9,5,1,1,5
48,18,9,5,1,1,5
49,18,9,5,1,1,5
50,18,9,5,1,1,5
51,9,1,2,2,1,1
52,9,1,2,2,1,1
53,8,1,2,2,0,5
54,8,1,2,2,0,5
55,8,1,2,2,0,5
56,17,9,5,3,1,1
57,17,9,5,3,1,1
58,19,7,1,2,1,5
59,19,7,1,2,1,5
60,19,7,1,2,1,5
61,19,7,1,2,1,5
62,19,7,1,2,1,5
63,19,7,1,2,1,5
64,19,7,1,2,1,5
65,19,7,1,2,1,5
66,19,7,1,2,1,5
67,19,7,1,2,1,5
68,19,7,1,2,1,5
69,19,7,1,2,1,5
70,19,7,1,2,1,5
71,19,7,1,2,1,5
72,19,7,1,2,1,5
73,19,7,1,2,1,5
74,19,7,1,2,1,5
75,19,7,1,2,1,5
76,19,7,1,2,1,5
77,19,7,1,2,1,5
78,19,7,1,2,1,5
79,19,7,1,2,1,5
80,19,7,1,2,1,5
81,19,7,1,2,1,5
82,19,7,1,2,1,5
83,19,7,1,2,1,5
84,19,7,1,2,1,5
85,19,7,1,2,1,5
86,19,7,1,2,1,5
87,19,7,1,2,1,5
88,19,7,1,2,1,5
89,19,7,1,2,1,5
90,19,7,1,2,1,5
91,19,7,1,2,1,5
92,19,7,1,2,1,5
93,19,7,1,2,1,5
94,19,7,1,2,1,5
95,19,7,1,2,1,5
96,19,7,1,2,1,5
97,19,7,1,2,1,5
98,19,7,1,2,1,5
99,19,7,1,2,1,5
100,19,7,1,2,1,5
101,19,7,1,2,1,5
102,19,7,1,2,1,5
103,19,7,1,2,1,5
104,19,7,1,2,1,5
105,19,7,1,2,1,5
106,19,7,1,2,1,5
107,19,7,1,2,1,5
108,19,7,1,2,1,5
109,19,7,1,2,1,5
110,19,7,1,2,1,5
111,19,7,1,2,1,5
112,19,7,1,2,1,5
113,19,7,1,2,1,5
114,19,7,1,2,1,5
115,19,7,1,2,1,5
116,19,7,1,2,1,5
117,19,7,1,2,1,5
118,19,7,1,2,1,5
119,19,7,1,2,1,5
120,19,7,1,2,1,5
121,19,7,1,2,1,5
122,19,7,1,2,1,5
123,19,7,1,2,1,5
124,19,7,1,2,1,5
125,19,7,1,2,1,5
126,19,7,1,2,1,5
127,19,7,1,2,1,5
128,19,7,1,2,1,5
129,19,7,1,2,1,5
130,19,7,1,2,1,5
131,19,7,1,2,1,5
132,19,7,1,2,1,5
133,19,7,1,2,1,5
134,19,7,1,2,1,5
135,19,7,1,2,1,5
136,19,7,1,2,1,5
137,19,7,1,2,1,5
138,19,7,1,2,1,5
139,19,7,1,2,1,5
140,19,7,1,2,1,5
141,19,7,1,2,1,5
142,19,7,1,2,1,5
143,19,7,1,2,1,5
144,19,7,1,2,1,5
145,19,7,1,2,1,5
146,19,7,1,2,1,5
147,19,7,1,2,1,5
148,19,7,1,2,1,5
149,19,7,1,2,1,5
150,19,7,1,2,1,5
151,19,7,1,2,1,5
152,19,7,1,2,1,5
153,19,7,1,2,1,5
154,19,7,1,2,1,5
155,19,7,1,2,1,5
156,19,7,1,2,1,5
157,19,7,1,2,1,5
158,19,7,1,2,1,5
159,19,7,1,2,1,5
160,19,7,1,2,1,5
161,19,7,1,2,1,5
